,Country,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 day,Avg. 60 day
0,AE,46422.0,575767.9166666666,1048158.95,1480758.331932773,1887680.2016806724,2552939.7071428574
1,AR,,60916.0,148163.5,439132.4,687614.0,1045667.7142857144
2,AU,,,117571.0,117571.0,117571.0,545527.3333333334
3,BR,187793.89285714287,326654.5779220779,401400.7805830533,448507.4349421622,1230451.4759887364,1300068.3145907896
4,BY,,6596001.0,7241542.25,8166221.75,9195432.11764706,10282514.636363637
5,CA,26309.375,56216.17391304348,320155.3163265306,561276.7395833334,1264886.3602693602,1010465.4602264975
6,CL,0.0,0.0,0.0,0.0,0.0,0.0
7,CO,5644.0,12387.0,34372.0,53911.333333333336,70771.91666666667,119545.18518518521
8,ES,0.0,0.0,0.0,0.0,0.0,251513.0
9,"ES
",370641.0,731807.3333333334,921913.5,616709.4375,456802.7272727273,406745.0895522388
10,GB,124279.0,124279.0,229200.25,275291.8571428572,367663.3571428572,464329.4814814815
11,ID,245239.5,423662.75,478767.89087301586,627572.7943722942,727974.9272047397,963739.0494182162
12,IE,96646.16666666667,491132.2083333333,979352.0863636364,1068163.304232804,1885833.8040710753,2591463.469299088
13,IN,125422.58131429968,416574.16670592414,459461.49037849216,801287.4126940771,948925.5994983867,1582691.3301218029
14,KR,1312247.5333333334,2569551.3600000003,5195444.73076923,3643069.935555555,4349928.681775701,4038000.368284641
15,KW,,,4066882.5,3680625.5,4213970.625,4806892.375
16,MX,7418.080701754387,818042.2247863249,1421633.6736321761,1502499.4045025418,1182650.7790214457,1294474.2026933706
17,NL,12603.75,23598.75,50826.41666666666,70718.26086956522,98145.42857142857,127746.9898989899
18,NO,,,,765318.0,582074.6666666666,768548.4444444445
19,PH,55232.004086845474,70249.17095080155,81950.95820895521,76574.75627642135,78880.35962253879,73958.73872830367
20,PK,37460.51515151515,73277.00497512438,73277.00497512438,73277.00497512438,143855.45771144278,186946.09677419355
21,PR,0.0,0.0,0.0,55021852.8,55021852.8,43068182.36666667
22,RU,39008.5,867728.2083333334,703101.8583333334,783568.7586872587,797084.5581920904,1194293.0394265233
23,SO,0.0,0.0,0.0,0.0,0.0,0.0
24,SV,0.0,0.0,0.0,0.0,0.0,0.0
25,TH,17200.076388888887,16818.023642611686,40063.98756218906,40147.86700983531,53945.238820132014,63589.27918133065
26,US,229679.81257512714,669307.1243230625,3001801.26225412,3138485.541160465,4490036.067340117,5949412.792098359
